Name,Price,Location,Shadow size,Time,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec

Bitterling,900,River,1,All day,-,-,-,-,✓,✓,✓,✓,✓,-,-,-
Pale chub,200,River,1,9 AM - 4 PM,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓
Crucian carp,160,River,2,All day,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓
Dace,240,River,3,4 PM - 9 AM,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓
Carp,300,Pond,4,All day,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓
Koi,4000,Pond,4,4 PM - 9 AM,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓
Goldfish,1300,Pond,1,All day,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓
Pop-eyed Goldfish,1300,Pond,1,9 AM - 4 PM,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓
Ranchu Goldfish,4500,Pond,1,9 AM - 4 PM,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓
Killifish,,Pond,1,9 AM - 4 PM,✓,✓,-,-,-,-,-,-,-,✓,✓,✓
Crawfish,200,Pond,2,All day,✓,✓,✓,-,-,-,-,-,-,✓,✓,✓
Soft-shelled Turtle,3750,River,4,4 PM - 9 AM,-,✓,✓,-,-,-,-,-,-,-,-,-
Snapping Turtle,5000,River,5,9 PM - 4 AM,✓,✓,✓,✓,-,-,-,-,-,✓,✓,✓
Tadpole,100,Pond,1,All day,✓,-,-,-,-,-,-,-,✓,✓,✓,✓
Frog,,Pond,2,All day,✓,✓,-,-,-,-,-,-,-,-,✓,✓
Freshwater Goby,400,River,2,4 PM - 9 AM,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓
Loach,400,River,2,All day,-,-,-,-,-,-,-,-,✓,✓,✓,-
Catfish,800,Pond,4,4 PM - 9 AM,✓,✓,✓,✓,-,-,-,-,-,-,✓,✓
Giant snakehead,5500,Pond,5,9 AM - 4 PM,✓,✓,-,-,-,-,-,-,-,-,-,✓
Bluegill,180,River,?,9 AM - 4 PM,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓
Yellow perch,300,River,3,All day,-,-,-,✓,✓,✓,✓,✓,✓,-,-,-
Black bass,400,River,4,All day,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓
Tilapia,800,River,3,All day,✓,✓,✓,✓,-,-,-,-,-,-,-,✓
Pike,1800,River,5,All day,-,-,✓,✓,✓,✓,-,-,-,-,-,-
Pond smelt,,River,2,All day,-,-,-,-,-,✓,✓,✓,-,-,-,-
Sweetfish,900,River,3,All day,✓,✓,✓,-,-,-,-,-,-,-,-,-
Cherry Salmon,1000,River (Clifftop)  Pond,3,4 PM - 9 AM,-,-,✓,✓,✓,-,-,-,✓,✓,✓,✓
Char,3800,River (Clifftop) Pond,3,4 PM - 9 AM,-,-,✓,✓,✓,-,-,-,✓,✓,✓,✓
Golden Trout,15000,River (Clifftop),4,4 PM - 9 AM,-,-,✓,✓,✓,-,-,-,✓,✓,✓,-
Stringfish,15000,River (Clifftop),6,4 PM - 9 AM,-,-,-,-,-,✓,✓,✓,✓,-,-,-
Salmon,700,River (Mouth),4,All day,-,-,✓,-,-,-,-,-,-,-,-,-
King Salmon,1800,River (Mouth),6,All day,-,-,✓,-,-,-,-,-,-,-,-,-
Mitten Crab,2000,River,2,4 PM - 9 AM,-,-,✓,✓,✓,-,-,-,-,-,-,-
Guppy,1300,River,1,9 AM - 4 PM,✓,✓,✓,✓,✓,-,-,-,-,✓,✓,✓
Nibble Fish,1500,River,2,9 AM - 4 PM,✓,✓,✓,-,-,-,-,-,-,-,✓,✓
Angelfish,3000,River,2,4 PM - 9 AM,✓,✓,✓,✓,-,-,-,-,-,-,✓,✓
Betta,2500,River,2,9 AM - 4 PM,✓,✓,✓,✓,-,-,-,-,-,-,✓,✓
Neon tetra,500,River,1,9 AM - 4 PM,✓,✓,✓,✓,✓,-,-,-,-,✓,✓,✓
Rainbowfish,800,River,1,9 AM - 4 PM,✓,✓,✓,✓,-,-,-,-,-,-,✓,✓
Piranha,2500,River,2,9 AM - 4 PM & 9 PM - 4 AM,✓,✓,✓,-,-,-,-,-,-,-,-,✓
Arowana,10000,River,4,4 PM - 9 AM,✓,✓,✓,-,-,-,-,-,-,-,-,✓
Dorado,15000,River,5,4 AM - 9 PM,✓,✓,✓,-,-,-,-,-,-,-,-,✓
Gar,6000,Pond,6,4 PM - 9 AM,✓,✓,✓,-,-,-,-,-,-,-,-,✓
Arapaima,10000,River,6,4 PM - 9 AM,✓,✓,✓,-,-,-,-,-,-,-,-,✓
Saddled Bichir,4000,River,4,9 PM - 4 AM,✓,✓,✓,-,-,-,-,-,-,-,-,✓
Sturgeon,10000,River (Mouth),6,All day,-,-,✓,✓,✓,✓,✓,✓,✓,-,-,-
Sea butterfly,1000,Sea,1,All day,-,-,-,-,-,✓,✓,✓,✓,-,-,-
Seahorse,1100,Sea,1,All day,✓,✓,✓,✓,✓,-,-,-,-,✓,✓,✓
Clownfish,650,Sea,1,All day,✓,✓,✓,-,-,-,-,-,-,✓,✓,✓
Surgeonfish,1000,Sea,2,All day,✓,✓,✓,-,-,-,-,-,-,✓,✓,✓
Butterfly fish,1000,Sea,2,All day,✓,✓,✓,-,-,-,-,-,-,✓,✓,✓
Napoleonfish,10000,Sea,6,4 AM - 9 PM,✓,✓,-,-,-,-,-,-,-,-,-,-
Zebra turkeyfish,500,Sea,3,All day,✓,✓,✓,✓,✓,-,-,-,-,✓,✓,✓
Blowfish,,Sea,3,9 PM - 4 AM,-,-,-,-,✓,✓,✓,✓,-,-,-,-
Puffer fish,250,Sea,3,All day,✓,✓,✓,-,-,-,-,-,-,-,-,-
